ticker,start_date,end_date,period_months,cumulative_return,sp500_return,abnormal_return,sue,surprise,reported_eps,eps_estimate
SOFI,10/31/23,11/30/23,1,-0.0383,0.0798,-0.1181,2.9019,0.04,-0.03,-0.07
SOFI,10/31/23,12/31/23,2,0.3127,0.1291,0.1835,2.9019,0.04,-0.03,-0.07
SOFI,10/31/23,1/31/24,3,0.033,0.1471,-0.1141,2.9019,0.04,-0.03,-0.07
SOFI,8/1/23,9/1/23,1,-0.128,0.0024,-0.1303,0,0,-0.06,-0.06
SOFI,8/1/23,10/1/23,2,-0.2073,-0.047,-0.1604,0,0,-0.06,-0.06
SOFI,8/1/23,11/1/23,3,-0.248,-0.0577,-0.1903,0,0,-0.06,-0.06
SOFI,5/2/23,6/2/23,1,0.4495,0.0488,0.4007,1.451,0.02,-0.05,-0.07
SOFI,5/2/23,7/2/23,2,0.7196,0.0905,0.6291,1.451,0.02,-0.05,-0.07
SOFI,5/2/23,8/2/23,3,1.0784,0.1073,0.971,1.451,0.02,-0.05,-0.07
CVNA,2/20/25,3/20/25,1,-0.1696,-0.0574,-0.1122,0.8595,0.27,0.56,0.29
CVNA,2/20/25,4/20/25,2,-0.048,-0.0621,0.0142,0.8595,0.27,0.56,0.29
CVNA,2/20/25,5/20/25,3,-0.048,-0.0621,0.0142,0.8595,0.27,0.56,0.29
CVNA,10/31/24,11/30/24,1,0.1368,0.0552,0.0816,1.2733,0.4,0.64,0.24
CVNA,10/31/24,12/31/24,2,-0.1123,0.0298,-0.1421,1.2733,0.4,0.64,0.24
CVNA,10/31/24,1/31/25,3,0.0803,0.0574,0.0229,1.2733,0.4,0.64,0.24
CVNA,8/1/24,9/1/24,1,0.0978,0.0578,0.0401,0.6685,0.21,0.14,-0.07
CVNA,8/1/24,10/1/24,2,0.2813,0.0703,0.211,0.6685,0.21,0.14,-0.07
CVNA,8/1/24,11/1/24,3,0.6697,0.0749,0.5948,0.6685,0.21,0.14,-0.07
CVNA,5/2/24,6/2/24,1,-0.1783,0.0314,-0.2097,3.0878,0.97,0.23,-0.74
